Rk,Name,Position,Indct,First Year,Last Year,AP1,PB,St,CarAV,Games Played,Passes Completed,Passes Attempted,Passing Yards,TD Passes,Longest Pass,Ints,Sacks,Sacked Yards Lost,Rushing Attempts,Rushing Yards,Rushing TDs,Longest Rushing Run,Receptions,Receiving Yards,Receiving TDs,Longest Reception,Year
162,O.J. Simpson\SimpO.00,RB,1985,1969,1979,5,6,11,98,135,6,16,110,1,34,0,1,11,2404,11236,61,94,203,2142,14,64,1974
163,Roger Staubach\StauRo00,QB,1985,1969,1979,0,6,8,105,131,1685,2958,22700,153,91,109,313,2154,410,2264,20,33,1,-13,0,0,1974
164,Willie Brown\BrowWi01,DB,1984,1963,1978,5,9,13,108,204,,,,,,,,,,,,,,,,,1970.5
165,Mike McCormack\McCoMi00,T,1984,1951,1962,0,6,10,27,119,,,,,,,,,0,8,0,4,,,,,1956.5
166,Charley Taylor\TaylCh00,WR,1984,1964,1977,1,8,13,96,165,3,14,99,1,45,1,0,0,442,1488,11,50,649,9110,79,88,1970.5
167,Arnie Weinmeister\WeinAr00,DT,1984,1948,1953,5,4,6,0,71,,,,,,,,,,,,,1,16,0,16,1950.5
168,Bobby Bell\BellBo00,LB,1983,1963,1974,6,9,12,103,168,,,,,,,,,,,,,,,,,1968.5
169,Sonny Jurgensen\JurgSo00,QB,1983,1957,1974,2,5,10,107,218,2433,4262,32224,255,99,189,94,748,181,493,15,33,1,-3,0,0,1965.5
170,Bobby Mitchell\MitcBo00,FL,1983,1958,1968,1,4,10,88,148,3,3,61,1,23,0,,,513,2735,18,90,521,7954,65,99,1963
171,Paul Warfield\WarfPa00,WR,1983,1964,1977,2,8,11,106,157,,,,,,,,,22,204,0,39,427,8565,85,86,1970.5
172,Doug Atkins\AtkiDo00,DE,1982,1953,1969,1,8,15,71,205,,,,,,,,,,,,,,,,,1961
173,Sam Huff\HuffSa00,LB,1982,1956,1969,2,5,13,63,168,,,,,,,,,,,,,,,,,1962.5
174,George Musso\MussGe20,G,1982,1933,1944,1,3,9,0,128,,,,,,,,,,,,,,,,,1938.5
175,Merlin Olsen\OlseMe00,DT,1982,1962,1976,5,14,15,112,208,,,,,,,,,,,,,,,,,1969
176,Red Badgro\BadgRe20,E,1981,1927,1936,0,0,7,0,94,,,,,,,,,,,,,35,560,7,13,1931.5
177,George Blanda\BlanGe00,QB,1981,1949,1975,1,4,19,95,340,1911,4007,26920,236,95,277,12,94,135,344,9,19,1,-16,0,7,1962
178,Willie Davis\DaviWi01,DE,1981,1958,1969,5,5,11,94,162,,,,,,,,,,,,,,,,,1963.5
179,Jim Ringo\RingJi00,C,1981,1953,1967,6,10,14,78,187,,,,,,,,,0,13,0,13,,,,,1960
180,Herb Adderley\AddeHe00,DB,1980,1961,1972,4,5,12,106,164,,,,,,,,,,,,,,,,,1966.5
181,Deacon Jones\JoneDe00,DE,1980,1961,1974,5,8,13,91,191,,,,,,,,,,,,,,,,,1967.5
